caseName,burstMode,sourcePayloadEbN0Db,burstLength,burstStartPolicy,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,aggregation
BCH-B300,PURE,0,29,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,145000,5000,0.09666666666666666,1.0,RAW_COUNTS
BCH-B300,PURE,0,29,ON_SEGMENT_BOUNDARY,5000,1500000,145000,5000,0.09666666666666666,1.0,RAW_COUNTS
BCH-B300,PURE,0,30,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,150000,5000,0.1,1.0,RAW_COUNTS
BCH-B300,PURE,0,30,ON_SEGMENT_BOUNDARY,5000,1500000,150000,5000,0.1,1.0,RAW_COUNTS
BCH-B300,PURE,0,31,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,155000,5000,0.10333333333333333,1.0,RAW_COUNTS
BCH-B300,PURE,0,31,ON_SEGMENT_BOUNDARY,5000,1500000,155000,5000,0.10333333333333333,1.0,RAW_COUNTS
BCH-B300,PURE,0,32,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,160000,5000,0.10666666666666667,1.0,RAW_COUNTS
BCH-B300,PURE,0,32,ON_SEGMENT_BOUNDARY,5000,1500000,160000,5000,0.10666666666666667,1.0,RAW_COUNTS
BCH-B300,PURE,0,48,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,240000,5000,0.16,1.0,RAW_COUNTS
BCH-B300,PURE,0,48,ON_SEGMENT_BOUNDARY,5000,1500000,240000,5000,0.16,1.0,RAW_COUNTS
BCH-B300,PURE,0,64,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,320000,5000,0.21333333333333335,1.0,RAW_COUNTS
BCH-B300,PURE,0,64,ON_SEGMENT_BOUNDARY,5000,1500000,320000,5000,0.21333333333333335,1.0,RAW_COUNTS
BCH-B300-426,PURE,0,1,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
