rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,tracebackMode,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,mismatchVsBlockBits,mismatchVsBlockFrames,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,tracebackOperations,ACSCount,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,fullFrameLastDecisionSymbol,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,timingBatchCount,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId
R12,7,7,10.096301674258989,0.49019607843137253,0.099763115748444001,CONTINUOUS_TRUNCATED_D112,112,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,21504,1536,23040,1092000000,1958400000,222,184.90000000000001,222,611,422.37442600000088,445.30000000000001,517.60000000000002,1925.4000000000001,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-7,STAGE13-REFERENCE
R12,9,9,12.096301674258989,0.49019607843137253,0.06294627058970835,BLOCK_FULL_TRACEBACK,306,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,58752,1536,60288,15300000,1958400000,610,311,580,611,337.47088999999715,360.5,418.80000000000001,1822.9000000000001,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-9,STAGE13-REFERENCE
R12,9,9,12.096301674258989,0.49019607843137253,0.06294627058970835,CONTINUOUS_TRUNCATED_D84,84,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,16128,1536,17664,936600000,1958400000,166,145.97999999999999,166,611,409.37736000000012,431.10000000000002,497.89999999999998,1757.3,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-9,STAGE13-REFERENCE
R12,9,9,12.096301674258989,0.49019607843137253,0.06294627058970835,CONTINUOUS_TRUNCATED_D112,112,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,21504,1536,23040,1092000000,1958400000,222,184.90000000000001,222,611,419.76640800000104,442.5,510.30000000000001,4771.8999999999996,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-9,STAGE13-REFERENCE
R23,-4.5,-4.5,-2.6530856918240122,0.65359477124183007,1.4091914656322269,BLOCK_FULL_TRACEBACK,306,1000,139130,1000,0.46376666666666666,1,0.46198265193139809,0.465551609315773,0.99617324151444497,1,0,0,58752,1536,60288,306000,39168000,457,233,435,458,327.37610000000029,353.69999999999999,409.30000000000001,1116.5999999999999,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R23--4.5,STAGE13-REFERENCE
R23,-4.5,-4.5,-2.6530856918240122,0.65359477124183007,1.4091914656322269,CONTINUOUS_TRUNCATED_D84,84,1000,139008,1000,0.46335999999999999,1,0.46157609679873873,0.46514484152958741,0.99617324151444497,1,23422,943,16128,1536,17664,18732000,39168000,124,109.42,125,458,386.94499999999994,412.80000000000001,476.39999999999998,1232.5999999999999,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R23--4.5,STAGE13-REFERENCE
R23,-4.5,-4.5,-2.6530856918240122,0.65359477124183007,1.4091914656322269,CONTINUOUS_TRUNCATED_D112,112,1000,139096,1000,0.46365333333333331,1,0.46186934956140108,0.46543824792150174,0.99617324151444497,1,13810,763,21504,1536,23040,21840000,39168000,166,138.58666666666667,167,458,397.31349999999964,421.39999999999998,486.80000000000001,815.60000000000002,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R23--4.5,STAGE13-REFERENCE
R23,-2.5,-2.5,-0.65308569182401222,0.65359477124183007,0.88913970501946138,BLOCK_FULL_TRACEBACK,306,1000,109156,1000,0.36385333333333331,1,0.36213349861660887,0.36557665468416906,0.99617324151444497,1,0,0,58752,1536,60288,306000,39168000,457,233,435,458,332.32170000000019,353.5,418.19999999999999,697.89999999999998,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R23--2.5,STAGE13-REFERENCE
R23,-2.5,-2.5,-0.65308569182401222,0.65359477124183007,0.88913970501946138,CONTINUOUS_TRUNCATED_D84,84,1000,109300,1000,0.36433333333333334,1,0.3626130073406077,0.36605713366765952,0.99617324151444497,1,20672,892,16128,1536,17664,18732000,39168000,124,109.42,125,458,393.35269999999997,412.5,488.89999999999998,886.20000000000005,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R23--2.5,STAGE13-REFERENCE
R23,-2.5,-2.5,-0.65308569182401222,0.65359477124183007,0.88913970501946138,CONTINUOUS_TRUNCATED_D112,112,1000,109156,1000,0.36385333333333331,1,0.36213349861660887,0.36557665468416906,0.99617324151444497,1,12074,711,21504,1536,23040,21840000,39168000,166,138.58666666666667,167,458,405.93720000000002,423.19999999999999,495.89999999999998,754.20000000000005,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R23--2.5,STAGE13-REFERENCE
