channelType,profileId,caseName,payloadGroup,payloadLength,encodedLength,frameRate,sourcePayloadEbN0Db,snrDb,processedFrames,decodedBitErrors,decodedFrameErrors,BER,FER,trueSuccessRate,miscorrectionRate,decoderFailureRate,channelHardBER,avgDecodeTimeUs,avgPreprocessingTimeUs,medianPreprocessingTimeUs,p95PreprocessingTimeUs,p99PreprocessingTimeUs,avgTotalReceiverTimeUs,medianReceiverTimeUs,p95ReceiverTimeUs,p99ReceiverTimeUs,timingSemantics,xSemantic,bandwidthConvention,seriesKey,plotted
AWGN,AWGN,BCH-B300-426,300,300,426,0.70422535211267601,4.8,3.2771165561694344,8826,2197,200,0.00082974544905204317,0.022660321776569226,0.97733967822343082,0,0.022660321776569226,,114.74284000000004,0.0,0.0,0.0,0.0,114.74284000000004,104.59999999999999,168.5,316.45800000000128,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B300-426|AWGN,true
AWGN,AWGN,BCH-B300-426,300,300,426,0.70422535211267601,5.0,3.4771165561694346,22843,2220,200,0.0003239504443374338,0.0087554174145252368,0.99124458258547476,0,0.0087554174145252368,,114.74284000000004,0.0,0.0,0.0,0.0,114.74284000000004,104.59999999999999,168.5,316.45800000000128,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B300-426|AWGN,true
AWGN,AWGN,BCH-B300-426,300,300,426,0.70422535211267601,5.2,3.677116556169435,50000,1368,127,9.1199999999999994e-05,0.0025400000000000002,0.99746000000000001,0,0.0025400000000000002,,114.74284000000004,0.0,0.0,0.0,0.0,114.74284000000004,104.59999999999999,168.5,316.45800000000128,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B300-426|AWGN,true
AWGN,AWGN,BCH-B300-426,300,300,426,0.70422535211267601,5.4,3.877116556169435,50000,436,40,2.9066666666666667e-05,0.00080000000000000004,0.99919999999999998,0,0.00080000000000000004,,114.74284000000004,0.0,0.0,0.0,0.0,114.74284000000004,104.59999999999999,168.5,316.45800000000128,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B300-426|AWGN,true
AWGN,AWGN,BCH-B300-426,300,300,426,0.70422535211267601,5.5,3.9771165561694346,50000,361,33,2.4066666666666668e-05,0.00066,0.99934000000000001,0,0.00066,,114.74284000000004,0.0,0.0,0.0,0.0,114.74284000000004,104.59999999999999,168.5,316.45800000000128,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B300-426|AWGN,true
BLOCKAGE_H,BLOCKAGE_H,BCH-B300-426,300,300,426,0.70422535211267601,3.4,1.8771165561694347,5000,103724,4999,0.069149333333333327,0.99980000000000002,0.00020000000000000001,0,0.99980000000000002,0.068781220657277001,129.84959999999984,34.565900000000099,32.199999999999989,39.099999999999994,60.407000000000153,164.41549999999967,154.5,202.90500000000003,285.42800000000062,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B300-426|BLOCKAGE_H,true
BLOCKAGE_H,BLOCKAGE_H,BCH-B300-426,300,300,426,0.70422535211267601,3.6,2.077116556169435,5000,98198,4995,0.065465333333333334,0.999,0.001,0,0.999,0.06536197183098591,129.84959999999984,34.565900000000099,32.199999999999989,39.099999999999994,60.407000000000153,164.41549999999967,154.5,202.90500000000003,285.42800000000062,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B300-426|BLOCKAGE_H,true
BLOCKAGE_H,BLOCKAGE_H,BCH-B300-426,300,300,426,0.70422535211267601,3.8,2.2771165561694344,5000,93778,4991,0.062518666666666667,0.99819999999999998,0.0018,0,0.99819999999999998,0.062334272300469486,129.84959999999984,34.565900000000099,32.199999999999989,39.099999999999994,60.407000000000153,164.41549999999967,154.5,202.90500000000003,285.42800000000062,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B300-426|BLOCKAGE_H,true
BLOCKAGE_H,BLOCKAGE_H,BCH-B300-426,300,300,426,0.70422535211267601,4.0,2.4771165561694346,5000,89840,4979,0.059893333333333333,0.99580000000000002,0.0041999999999999997,0,0.99580000000000002,0.059834741784037561,129.84959999999984,34.565900000000099,32.199999999999989,39.099999999999994,60.407000000000153,164.41549999999967,154.5,202.90500000000003,285.42800000000062,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B300-426|BLOCKAGE_H,true
BLOCKAGE_H,BLOCKAGE_H,BCH-B300-426,300,300,426,0.70422535211267601,4.2,2.677116556169435,5000,85388,4969,0.056925333333333335,0.99380000000000002,0.0061999999999999998,0,0.99380000000000002,0.056822535211267608,129.84959999999984,34.565900000000099,32.199999999999989,39.099999999999994,60.407000000000153,164.41549999999967,154.5,202.90500000000003,285.42800000000062,TIMING_ONLY_RERUN_PROFILE_PREINITIALIZED,NORMALIZED_WAVEFORM_SNR_PS_OVER_PN,Bn_EQUALS_Rs,BCH-B300-426|BLOCKAGE_H,true
