figureId,sourceCsv,sourceRowId,sourceRowSha256,caseId,payloadLength,legendLabel,styleId,snrIndex,snrDb,snrLinear,ebn0Db,actualRate,encodedLength,metric,rawNumerator,rawDenominator,rawY,plotY,isZeroObserved,plotSurrogateUsed,plotSurrogateFormula,totalFrames,stopReason
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,220,e652943348af942bc6c2a06b5831a0c79150a9dee70a02c0dd0eed74614144bd,K300_M255K207,300,255双块300,STYLE_2,34,17,50.118723362727224,15.195439355418687,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,221,88dbd8e1eb64fe796bfae6dd0c741d4f3a9fcf0bf975785e72bb0c930b215626,K300_M255K207,300,255双块300,STYLE_2,35,17.5,56.234132519034908,15.695439355418687,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,222,7242a87a78aa822bffff99f520301b12acf40a2fac18c16130e02c6d24d983bc,K300_M255K207,300,255双块300,STYLE_2,36,18,63.095734448019329,16.195439355418685,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,260,13d6bb0144f8c05e3fbb917d8dbf79235ddb3032e45bdcef07b2cf39fb3b869a,K300_M511K385,300,385整块300,STYLE_4,0,0,1,-1.4874165128092467,0.70422535211267601,426,fer,1000,1000,1,1,false,false,none,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,261,b913733f1411ae69111757b57f063d8d6830d559dbd16cc4f74e825d710f79b7,K300_M511K385,300,385整块300,STYLE_4,1,0.5,1.1220184543019633,-0.98741651280924669,0.70422535211267601,426,fer,1000,1000,1,1,false,false,none,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,262,d8406538ec4ac91a8636584eaa9dbd0c0ffd5e68f0dedbaa0bc50723e616d4e3,K300_M511K385,300,385整块300,STYLE_4,2,1,1.2589254117941673,-0.48741651280924669,0.70422535211267601,426,fer,1000,1000,1,1,false,false,none,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,263,2cbd42c91e7efef06451a8e04627b35e19827fdc9875bfa488a79e482313055f,K300_M511K385,300,385整块300,STYLE_4,3,1.5,1.4125375446227544,0.012583487190753306,0.70422535211267601,426,fer,1000,1000,1,1,false,false,none,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,264,ef10b099a7db5f7c7099ff18d6e5f20de0343bc5465b9493368cc6b8fe4db804,K300_M511K385,300,385整块300,STYLE_4,4,2,1.5848931924611136,0.51258348719075331,0.70422535211267601,426,fer,1000,1000,1,1,false,false,none,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,265,4c23e361ee3c92c53c550d6f54d1b9e4a2dbef1909a631184533719c5b77ad3a,K300_M511K385,300,385整块300,STYLE_4,5,2.5,1.7782794100389228,1.0125834871907533,0.70422535211267601,426,fer,1000,1000,1,1,false,false,none,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,266,8459cc9bdd72aa59de199a5ce4ce15cd5abb7176261f2aa22673d869c1292aef,K300_M511K385,300,385整块300,STYLE_4,6,3,1.9952623149688795,1.5125834871907533,0.70422535211267601,426,fer,1000,1000,1,1,false,false,none,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,267,62ae026a171200605648bc35bfc664c1b04bfec576e631366b872f634dc10e67,K300_M511K385,300,385整块300,STYLE_4,7,3.5,2.2387211385683394,2.0125834871907533,0.70422535211267601,426,fer,997,1000,0.997,0.997,false,false,none,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,268,8ffe9b8c6c78314543d75a8687a3b5793956bae3404c84e71a9e10bca4d9a561,K300_M511K385,300,385整块300,STYLE_4,8,4,2.5118864315095801,2.5125834871907533,0.70422535211267601,426,fer,986,1000,0.98599999999999999,0.98599999999999999,false,false,none,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,269,629388626143ab09db7cdbf99312e9183a9da41f6411ea1a18c06dea307f42ef,K300_M511K385,300,385整块300,STYLE_4,9,4.5,2.8183829312644537,3.0125834871907533,0.70422535211267601,426,fer,900,1000,0.90000000000000002,0.90000000000000002,false,false,none,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,270,073c876d0108021c501f2d47deeea40e6660b35bf8bb037802bb62cc8513b990,K300_M511K385,300,385整块300,STYLE_4,10,5,3.1622776601683795,3.5125834871907533,0.70422535211267601,426,fer,611,1000,0.61099999999999999,0.61099999999999999,false,false,none,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,271,93fe703e2dc13b3e7b00e727c2656688b1bc8ad964e2d5ece7599a333ae9bc99,K300_M511K385,300,385整块300,STYLE_4,11,5.5,3.548133892335755,4.0125834871907529,0.70422535211267601,426,fer,298,1000,0.29799999999999999,0.29799999999999999,false,false,none,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,272,92f93466313668e21e5e58842015804dd48c6be02453a9bfd4c8878968079c5c,K300_M511K385,300,385整块300,STYLE_4,12,6,3.9810717055349722,4.5125834871907529,0.70422535211267601,426,fer,200,2805,0.07130124777183601,0.07130124777183601,false,false,none,2805,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,273,9f33655b3215f27ad720e6bdc92597515daf66e930a183f72625513fdadfac52,K300_M511K385,300,385整块300,STYLE_4,13,6.5,4.4668359215096318,5.0125834871907529,0.70422535211267601,426,fer,200,22773,0.0087823299521363023,0.0087823299521363023,false,false,none,22773,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,274,63bcee464560ba563d55c002ddcddf02612dd8a13d7fe16e515f08c86f40fa73,K300_M511K385,300,385整块300,STYLE_4,14,7,5.011872336272722,5.5125834871907529,0.70422535211267601,426,fer,31,50000,0.00062,0.00062,false,false,none,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,275,d54dea15dc19c087eca538e174cbb76a95883d50fbbd5292c8f604f22ad38e48,K300_M511K385,300,385整块300,STYLE_4,15,7.5,5.6234132519034912,6.0125834871907529,0.70422535211267601,426,fer,1,50000,2.0000000000000002e-05,2.0000000000000002e-05,false,false,none,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,276,6a679f1d17b2335e29fbaad19f12a1252c9dba7a1d3cbc2863286c496c0e4e79,K300_M511K385,300,385整块300,STYLE_4,16,8,6.3095734448019334,6.5125834871907529,0.70422535211267601,426,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,277,8db4c1413b6ba24d06877f970d5873af2f56fa03768bdd5d0210adb7c7417494,K300_M511K385,300,385整块300,STYLE_4,17,8.5,7.0794578438413787,7.0125834871907529,0.70422535211267601,426,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,278,0622ae5dd6712b6fe04f41bf076838d32acb1c814eb1dd3945efddebf0e7a036,K300_M511K385,300,385整块300,STYLE_4,18,9,7.9432823472428158,7.5125834871907529,0.70422535211267601,426,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,279,3ef239337b891933140354d77e561dffe6aecd4af87838f6a90fa1810561ec63,K300_M511K385,300,385整块300,STYLE_4,19,9.5,8.9125093813374541,8.0125834871907529,0.70422535211267601,426,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,280,04ffd885bc75fb306afd884b8df0d360eb7af31f66009aff95814440c93d75bf,K300_M511K385,300,385整块300,STYLE_4,20,10,10,8.5125834871907529,0.70422535211267601,426,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,281,2a65c90bf455969128134ecf83c17f0358bf3c137b0bd5dd26fd799dd5038f0d,K300_M511K385,300,385整块300,STYLE_4,21,10.5,11.220184543019636,9.0125834871907529,0.70422535211267601,426,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
