channelType,profileId,caseName,snrDb,miscorrectionRate,decoderFailureRate
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,9.73871964321762,0.11119999999999999,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,9.93871964321762,0.097799999999999998,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,10.13871964321762,0.078200000000000006,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,10.33871964321762,0.066600000000000006,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,10.53871964321762,0.061199999999999997,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,10.73871964321762,0.048399999999999999,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,10.93871964321762,0.041399999999999999,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,11.13871964321762,0.035874439461883408,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,11.33871964321762,0.031113876789047916,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,11.53871964321762,0.025588536335721598,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,11.73871964321762,0.019657951641438961,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,11.93871964321762,0.015934985260138635,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,12.13871964321762,0.013689253935660506,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,12.33871964321762,0.011837821840781295,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,12.53871964321762,0.008775393795796586,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,12.73871964321762,0.007415097137772505,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,12.93871964321762,0.0058496636443404505,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,13.13871964321762,0.0047709923664122139,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,13.33871964321762,0.0042024752579269192,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,13.53871964321762,0.0033999999999999998,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,13.73871964321762,0.0027399999999999998,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,13.93871964321762,0.00192,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,14.13871964321762,0.0016000000000000001,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,14.33871964321762,0.0011800000000000001,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,14.53871964321762,0.00106,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,14.73871964321762,0.00085999999999999998,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S300,14.938719643217619,0.00042000000000000002,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,4.860566476931632,0,0.64700000000000002
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,5.0605664769316325,0,0.56659999999999999
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,5.260566476931633,0,0.47020000000000001
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,5.460566476931632,0,0.37819999999999998
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,5.660566476931632,0,0.30420000000000003
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,5.860566476931632,0,0.2286
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,6.0605664769316325,0,0.17879999999999999
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,6.260566476931633,0,0.125
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,6.460566476931632,0,0.092200000000000004
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,6.660566476931632,0,0.060999999999999999
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,6.860566476931632,0,0.042000000000000003
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,7.060566476931632,0,0.027326137450471376
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,7.260566476931633,0,0.016799664006719867
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,7.460566476931632,0,0.010282247699347078
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,7.660566476931633,0,0.006929046563192905
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,7.860566476931632,0,0.00396
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,8.060566476931632,0,0.0025400000000000002
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,8.260566476931633,0,0.00148
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,8.460566476931632,0,0.00077999999999999999
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,8.660566476931633,0,0.00048000000000000001
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300,8.860566476931632,0,0.00013999999999999999
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300-426,4.477116556169435,0,0.56020000000000003
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300-426,4.677116556169435,0,0.46639999999999998
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300-426,4.877116556169435,0,0.3634
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300-426,5.077116556169434,0,0.28039999999999998
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300-426,5.277116556169434,0,0.2084
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300-426,5.477116556169435,0,0.13639999999999999
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300-426,5.677116556169435,0,0.105
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300-426,5.877116556169435,0,0.065799999999999997
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300-426,6.077116556169434,0,0.041200000000000001
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300-426,6.277116556169434,0,0.025977399662293805
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300-426,6.477116556169435,0,0.016161616161616162
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300-426,6.677116556169434,0,0.0084828434491241462
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300-426,6.877116556169435,0,0.0051918384299880589
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300-426,7.077116556169434,0,0.0027000000000000001
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300-426,7.277116556169435,0,0.00142
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-B300-426,7.477116556169435,0,0.00072000000000000005
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,3.7618513565547094,0.86345,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,3.9618513565547095,0.84485,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,4.16185135655471,0.8306,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,4.36185135655471,0.81535,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,4.561851356554709,0.80395,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,4.761851356554709,0.79145,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,4.9618513565547095,0.78145,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,5.16185135655471,0.77375,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,5.36185135655471,0.76795,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,5.561851356554709,0.76415,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,5.761851356554709,0.7579913229940657,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,5.9618513565547095,0.700751463740722,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,6.16185135655471,0.6166828951639078,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,6.36185135655471,0.5074283043434714,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,6.561851356554709,0.4212977078078661,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,6.76185135655471,0.3184952321073038,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-S200,6.9618513565547095,0.23366153846153845,0.0
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,3.7618513565547094,0.98645,0.0
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,3.9618513565547095,0.9839,0.0
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,4.16185135655471,0.97845,0.0
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,4.36185135655471,0.97075,0.0
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,4.561851356554709,0.9627,0.0
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,4.761851356554709,0.9519,0.0
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,4.9618513565547095,0.94315,0.0
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,5.16185135655471,0.93435,0.0
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,5.36185135655471,0.91885,0.0
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,5.561851356554709,0.90505,0.0
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,5.761851356554709,0.89215,0.0
