metric,algorithm,targetPointIndex,targetErrorRate,referenceLength,candidateLength,referenceRequiredEbN0Db,candidateRequiredEbN0Db,relativeCodingGainDb,gainDirection,confidenceLevel,interpretation
BER,NMS,20,7.770083946828721e-06,480,560,8.868299470534096,9.414520131441845,-0.5462206609077498,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
BER,NMS,20,7.770083946828721e-06,480,640,8.868299470534096,3.4014338347085262,5.466865635825569,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,20,7.770083946828721e-06,560,640,9.414520131441845,3.4014338347085262,6.013086296733319,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,21,4.6539239604814486e-06,480,560,9.102318208215376,9.648970251012297,-0.5466520427969215,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
BER,NMS,21,4.6539239604814486e-06,480,640,9.102318208215376,3.4987221741919567,5.603596034023419,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,21,4.6539239604814486e-06,560,640,9.648970251012297,3.4987221741919567,6.150248076820341,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,22,2.787487030791125e-06,480,560,9.313010502004348,9.9042760166239,-0.5912655146195522,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
BER,NMS,22,2.787487030791125e-06,480,640,9.313010502004348,3.596010513675387,5.716999988328961,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,22,2.787487030791125e-06,560,640,9.9042760166239,3.596010513675387,6.3082655029485135,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,23,1.6695769017302316e-06,480,560,9.52370279579332,10.167030239041255,-0.6433274432479354,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
BER,NMS,23,1.6695769017302316e-06,480,640,9.52370279579332,3.6932988531588173,5.8304039426345025,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,23,1.6695769017302316e-06,560,640,10.167030239041255,3.6932988531588173,6.473731385882438,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,24,9.99999999999998e-07,480,560,9.710717802837408,10.278829866596249,-0.568112063758841,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
BER,NMS,24,9.99999999999998e-07,480,640,9.710717802837408,3.790587192642248,5.9201306101951605,REFERENCE_MINUS_CANDIDATE_EBN0,LOW,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,24,9.99999999999998e-07,560,640,10.278829866596249,3.790587192642248,6.488242673954002,REFERENCE_MINUS_CANDIDATE_EBN0,LOW,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
