schemeId,rate,decisionMode,quantMode,quantBits,tracebackMode,dtb,window,slide,organization,snrDb,actualRate,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,normalizedGoodput,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,fullFrameLastDecisionSymbol,avgDecodeTimeUs,p95DecodeTimeUs,inputMemoryBytes,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,peakRxBufferSymbols,ACSCount,tracebackOperations,windowTriggerCount,sourceStage,sourceCsv,sourceRowId,sourceHash
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,9.0,0.4901960784313725,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0.4901960784313725,,,,,408.092922,541.2,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-057,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,9.5,0.4901960784313725,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0.4901960784313725,,,,,405.30545999999856,542.1,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-059,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,10.0,0.4901960784313725,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0.4901960784313725,,,,,405.1276700000005,535.5,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-061,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R23_BLOCK_SOFT_FLOAT,R23,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-5.0,0.65359477124183,1000,141573,1000,0.47191,1.0,0.4701240026929468,0.4736967166750302,0.996173241514445,1.0,0.0,,,,,405.54380000000015,561.2,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-063,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R23_BLOCK_SOFT_FLOAT,R23,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-4.5,0.65359477124183,1000,139286,1000,0.4642866666666666,1.0,0.4625025110520593,0.466071736878225,0.996173241514445,1.0,0.0,,,,,364.47189999999966,482.1,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-065,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R23_BLOCK_SOFT_FLOAT,R23,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-4.0,0.65359477124183,1000,135206,1000,0.4506866666666666,1.0,0.4489068384595391,0.4524677577585518,0.996173241514445,1.0,0.0,,,,,413.9238000000004,581.9,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-067,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R23_BLOCK_SOFT_FLOAT,R23,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-3.5,0.65359477124183,1000,129194,1000,0.4306466666666666,1.0,0.4288756669209702,0.4324194425094477,0.996173241514445,1.0,0.0,,,,,375.5113999999994,501.1,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-069,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R23_BLOCK_SOFT_FLOAT,R23,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-3.0,0.65359477124183,1000,121175,1000,0.4039166666666666,1.0,0.4021620601077038,0.4056737338619104,0.996173241514445,1.0,0.0,,,,,369.4502,484.0,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-071,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R23_BLOCK_SOFT_FLOAT,R23,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-2.5,0.65359477124183,1000,108423,1000,0.36141,1.0,0.359692694737512,0.363130854468894,0.996173241514445,1.0,0.0,,,,,409.16510000000005,543.6,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-073,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R23_BLOCK_SOFT_FLOAT,R23,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-2.0,0.65359477124183,1000,90826,999,0.3027533333333333,0.999,0.3011117792467269,0.3043999387882412,0.994357441402042,0.999823453629374,0.0006535947712418,,,,,371.6509,472.2,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-075,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
