caseId,vectorId,interleaverMode,interleaverDepth,encodedMismatch,interleavedBitMismatch,burstPositionMismatch,deinterleavedBitMismatch,decodedPayloadMismatch,statusMismatch,matlabRecoveredBits,matlabStatus,passed
K300_S15,V1,BLOCK,8,0,0,0,0,0,0,101000110111000110010010110111111100110110011101001111100110100111101011111101000001111110010011110010100000100000001001000100101100100111000111110101110111100000111011001011011001100111011100001010001001000101101011110110110101101000111101111011110001011011001011010011111000000101110100000101100100,TRUE_SUCCESS,1
K300_S15,V2,BLOCK,8,0,0,0,0,0,0,010110110101000010001010110001010011000000011100101001110101101110011101110100000011011100100011100101011011111010110111111011000011010101001001110001110010101111100000101011100101000111011001101001111001100110100110010001111100011010000111110101100011110101101100111110001100010101001110110110011110,TRUE_SUCCESS,1
K300_S15,V0,ROW_COLUMN,8,0,0,0,0,0,0,001000101111100010101001001011110001111110111100111110101011111000001111101001110000001011010101100100111001000000100010110101011010111001110011011110110001110101010001101001110111000010101101110101101000010000110011011001010001000111001011000010011010111010010000000000111000101010001011001110100110,TRUE_SUCCESS,1
K300_S15,V1,ROW_COLUMN,8,0,0,0,0,0,0,101000110111000110010010110111111100110110011101001111100110100111101011111101000001111110010011110010100000100000001001000100101100100111000111110101110111100000111011001011011001100111011100001010001001000101101011110110110101101000111101111011110001011011001011010011111000000101110100000101100100,TRUE_SUCCESS,1
K300_S15,V2,ROW_COLUMN,8,0,0,0,0,0,0,010110110101000010001010110001010011000000011100101001110101101110011101110100000011011100100011100101011011111010110111111011000011010101001001110001110010101111100000101011100101000111011001101001111001100110100110010001111100011010000111110101100011110101101100111110001100010101001110110110011110,TRUE_SUCCESS,1
K300_S15,V0,PSEUDORANDOM,8,0,0,0,0,0,0,001000101111100010101001001011110001111110111100111110101011111000001111101001110000001011010101100100111001000000100010110101011010111001110011011110110001110101010001101001110111000010101101110101101000010000110011011001010001000111001011000010011010111010010000000000111000101010001011001110100110,TRUE_SUCCESS,1
K300_S15,V1,PSEUDORANDOM,8,0,0,0,0,0,0,101000110111000110010010110111111100110110011101001111100110100111101011111101000001111110010011110010100000100000001001000100101100100111000111110101110111100000111011001011011001100111011100001010001001000101101011110110110101101000111101111011110001011011001011010011111000000101110100000101100100,TRUE_SUCCESS,1
K300_S15,V2,PSEUDORANDOM,8,0,0,0,0,0,0,010110110101000010001010110001010011000000011100101001110101101110011101110100000011011100100011100101011011111010110111111011000011010101001001110001110010101111100000101011100101000111011001101001111001100110100110010001111100011010000111110101100011110101101100111110001100010101001110110110011110,TRUE_SUCCESS,1
K300_M255K207,V0,NONE,1,0,0,0,0,0,0,111001101110111101011100011001101110001000111010100001100101001111001101110100110100100001100101011101000010010010101001110101100111000010101000000101000000010110010111110011010000000100101110101001000000101001010111110011110010110110010110111110001111000010000001110110110000010000010101001000000011,TRUE_SUCCESS,1
K300_M255K207,V1,NONE,1,0,0,0,0,0,0,110111000111001000100101010011011000111011010111100101100100000110101111110001100110000010110011010101110000101111011000110111001000000110010101110110111011101100010001000000001100000100110011100111011101000010010000100111100111001110000001010110101000000011000000011100101100010010100000001111001000,TRUE_SUCCESS,1
K300_M255K207,V2,NONE,1,0,0,0,0,0,0,001110101110011000100110000000010011010101101110111001011000010110100001001111100000001011110101110111100100110100001101001011110001010110100110110011000000010010000011011011111110101000000100110100101000001110011101000111101111110011010101111001011011111100011111000000001011111101000001101100000001,DECODER_FAILURE,1
K300_M255K207,V0,BLOCK,8,0,0,0,0,0,0,111001101110111101011100011001101110001000111010100001100101001111001101110100110100100001100101011101000010010010101001110101100111000010101000000101000000010110010111110011010000000100101110101001000000101001010111110011110010110110010110111110001111000010000001110110110000010000010101001000000011,TRUE_SUCCESS,1
K300_M255K207,V1,BLOCK,8,0,0,0,0,0,0,110111000111001000100101010011011000111011010111100101100100000110101111110001100110000010110011010101110000101111011000110111001000000110010101110110111011101100010001000000001100000100110011100111011101000010010000100111100111001110000001010110101000000011000000011100101100010010100000001111001000,TRUE_SUCCESS,1
K300_M255K207,V2,BLOCK,8,0,0,0,0,0,0,001110101110011000100110000000010011010101101110111001011000010110100001001111100000001011110101110111100100110111110010101011110001010110100110110011000000010010000011011011111110101000000100110100101000001110011101000111101111110011010101111001011011111100011111000000001011111101000001101100000001,TRUE_SUCCESS,1
K300_M255K207,V0,ROW_COLUMN,8,0,0,0,0,0,0,111001101110111101011100011001101110001000111010100001100101001111001101110100110100100001100101011101000010010010101001110101100111000010101000000101000000010110010111110011010000000100101110101001000000101001010111110011110010110110010110111110001111000010000001110110110000010000010101001000000011,TRUE_SUCCESS,1
K300_M255K207,V1,ROW_COLUMN,8,0,0,0,0,0,0,110111000111001000100101010011011000111011010111100101100100000110101111110001100110000010110011010101110000101111011000110111001000000110010101110110111011101100010001000000001100000100110011100111011101000010010000100111100111001110000001010110101000000011000000011100101100010010100000001111001000,TRUE_SUCCESS,1
K300_M255K207,V2,ROW_COLUMN,8,0,0,0,0,0,0,001110101110011000100110000000010011010101101110111001011000010110100001001111100000001011110101110111100100110111110010101011110001010110100110110011000000010010000011011011111110101000000100110100101000001110011101000111101111110011010101111001011011111100011111000000001011111101000001101100000001,TRUE_SUCCESS,1
