filename,caseName,ebn0Db,metric,rawValue,plottedValue,zeroHandlingPolicy
bch13_prescan_miscorrection.png,BCH-B200,0.5,miscorrectionRate,0.002,0.002,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-B200,1,miscorrectionRate,0.0005,0.0005,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-B200,1.5,miscorrectionRate,0.0025,0.0025,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-B200,2,miscorrectionRate,0.0005,0.0005,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-B200,2.5,miscorrectionRate,0.0015,0.0015,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-B200,3,miscorrectionRate,0.0015,0.0015,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-B200,3.5,miscorrectionRate,0.002,0.002,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-B200,4,miscorrectionRate,0.001,0.001,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-B200,4.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_miscorrection.png,BCH-B200,5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_miscorrection.png,BCH-B200,5.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_miscorrection.png,BCH-B200,6,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_miscorrection.png,BCH-B200,6.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_miscorrection.png,BCH-B200,7,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_miscorrection.png,BCH-B200,7.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_miscorrection.png,BCH-B200,8,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_miscorrection.png,BCH-B200,8.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_miscorrection.png,BCH-B200,9,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_miscorrection.png,BCH-B200,9.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_miscorrection.png,BCH-B200,10,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_miscorrection.png,BCH-S300,0,miscorrectionRate,1.0,1.0,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,0.5,miscorrectionRate,1.0,1.0,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,1,miscorrectionRate,1.0,1.0,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,1.5,miscorrectionRate,1.0,1.0,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,2,miscorrectionRate,1.0,1.0,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,2.5,miscorrectionRate,0.996,0.996,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,3,miscorrectionRate,0.99,0.99,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,3.5,miscorrectionRate,0.9545,0.9545,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,4,miscorrectionRate,0.852,0.852,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,4.5,miscorrectionRate,0.702,0.702,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,5,miscorrectionRate,0.5125,0.5125,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,5.5,miscorrectionRate,0.319,0.319,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,6,miscorrectionRate,0.176,0.176,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,6.5,miscorrectionRate,0.0865,0.0865,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,7,miscorrectionRate,0.034,0.034,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,7.5,miscorrectionRate,0.0175,0.0175,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,8,miscorrectionRate,0.0055,0.0055,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,8.5,miscorrectionRate,0.0015,0.0015,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,9,miscorrectionRate,0.001,0.001,RAW_POSITIVE
bch13_prescan_miscorrection.png,BCH-S300,9.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
