caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,targetSnrDb,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K200_M511K421,421整块,200,290,0.68965517241379315,7.6136800223497483,6,6,ber,0,50000,0,1,1,4.9999999999999998e-08
K200_M511K421,421整块,200,290,0.68965517241379315,8.1136800223497492,6.5000000000000009,6.5000000000000009,ber,0,50000,0,1,1,4.9999999999999998e-08
K200_M511K421,421整块,200,290,0.68965517241379315,8.6136800223497492,7.0000000000000009,7.0000000000000009,ber,0,50000,0,1,1,4.9999999999999998e-08
K200_M511K421,421整块,200,290,0.68965517241379315,9.1136800223497492,7.5000000000000009,7.5000000000000009,ber,0,50000,0,1,1,4.9999999999999998e-08
K200_M511K421,421整块,200,290,0.68965517241379315,9.6136800223497492,8,8,ber,0,50000,0,1,1,4.9999999999999998e-08
K200_M511K385,385整块,200,326,0.61349693251533743,2.1218760440395781,0,0,ber,0.082665000000000002,1000,16533,0,0,0.082665000000000002
K200_M511K385,385整块,200,326,0.61349693251533743,2.6218760440395781,0.5,0.5,ber,0.070175000000000001,1000,14035,0,0,0.070175000000000001
K200_M511K385,385整块,200,326,0.61349693251533743,3.1218760440395781,1,1,ber,0.057525,1000,11505,0,0,0.057525
K200_M511K385,385整块,200,326,0.61349693251533743,3.6218760440395781,1.5,1.5,ber,0.042200000000000001,1000,8440,0,0,0.042200000000000001
K200_M511K385,385整块,200,326,0.61349693251533743,4.1218760440395776,1.9999999999999996,1.9999999999999996,ber,0.023035,1000,4607,0,0,0.023035
K200_M511K385,385整块,200,326,0.61349693251533743,4.6218760440395776,2.4999999999999996,2.4999999999999996,ber,0.0089681818181818179,1100,1973,0,0,0.0089681818181818179
K200_M511K385,385整块,200,326,0.61349693251533743,5.1218760440395776,2.9999999999999996,2.9999999999999996,ber,0.0021134146341463414,4100,1733,0,0,0.0021134146341463414
K200_M511K385,385整块,200,326,0.61349693251533743,5.6218760440395776,3.4999999999999996,3.4999999999999996,ber,0.00030142857142857141,28000,1688,0,0,0.00030142857142857141
K200_M511K385,385整块,200,326,0.61349693251533743,6.1218760440395776,3.9999999999999996,3.9999999999999996,ber,1.5500000000000001e-05,50000,155,0,0,1.5500000000000001e-05
K200_M511K385,385整块,200,326,0.61349693251533743,6.6218760440395776,4.5,4.5,ber,0,50000,0,1,1,4.9999999999999998e-08
K200_M511K385,385整块,200,326,0.61349693251533743,7.1218760440395776,5,5,ber,0,50000,0,1,1,4.9999999999999998e-08
K200_M511K385,385整块,200,326,0.61349693251533743,7.6218760440395776,5.5,5.5,ber,0,50000,0,1,1,4.9999999999999998e-08
