stageId,gitCommit,caseId,legendLabel,payloadLength,encodedLength,actualRate,initialPhaseDeg,targetEndPhaseDeg,deltaPhaseRadPerSymbol,actualEndPhaseDeg,ebn0Index,ebn0Db,snrDb,sigmaDimension2,totalFrames,totalPayloadBits,payloadErrorBits,payloadErrorFrames,decoderFailureFrames,miscorrectionFrames,undetectedErrorFrames,trueSuccessFrames,decodeTimeTotalNs,decodeTimeMeanNs,decodeTimeP50Ns,decodeTimeP95Ns,decodeTimeP99Ns,ber,fer,decoderFailureRate,miscorrectionRate,undetectedErrorRate,trueSuccessRate,noiseChecksum,stopReason,checkpointId,shardId
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,5,4.1136800223497483,2.5,0.28117066259517454,1000,200000,3734,458,458,0,0,542,50428700,50428,48800,69500,90000,0.018669999999999999,0.45800000000000002,0.45800000000000002,0,0,0.54200000000000004,14497125639007277855,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M511K421_5,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,6,4.6136800223497483,3,0.25059361681363618,1000,200000,1709,231,231,0,0,769,48366200,48366,47200,67400,87900,0.0085450000000000005,0.23100000000000001,0.23100000000000001,0,0,0.76900000000000002,15849020875141497083,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M511K421_6,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,7,5.1136800223497483,3.5,0.22334179607548157,3600,720000,1491,201,201,0,0,3399,146366200,40657,38600,58600,79800,0.0020708333333333334,0.055833333333333332,0.055833333333333332,0,0,0.94416666666666671,15856591164175505893,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M511K421_7,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,8,5.6136800223497483,4,0.19905358527674863,19900,3980000,1412,201,201,0,0,19699,726060400,36485,33800,55500,81200,0.00035477386934673367,0.010100502512562814,0.010100502512562814,0,0,0.98989949748743722,11520236663775403222,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M511K421_8,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,9,6.1136800223497483,4.5,0.17740669461678774,50000,10000000,209,33,33,0,0,49967,1661867200,33237,31200,50600,72500,2.09e-05,0.00066,0.00066,0,0,0.99934000000000001,11259762879189770246,MAX_FRAMES_REACHED,stage10_K200_M511K421_9,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,10,6.6136800223497483,5,0.15811388300841897,50000,10000000,0,0,0,0,0,50000,1673062900,33461,31600,49900,76600,0,0,0,0,0,1,4907324559826630733,MAX_FRAMES_REACHED,stage10_K200_M511K421_10,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,11,7.1136800223497483,5.5,0.14091914656322269,50000,10000000,0,0,0,0,0,50000,1470101800,29402,27400,43600,66400,0,0,0,0,0,1,15719958748563302089,MAX_FRAMES_REACHED,stage10_K200_M511K421_11,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,12,7.6136800223497483,6,0.12559432157547901,50000,10000000,0,0,0,0,0,50000,1399761500,27995,25900,41200,61300,0,0,0,0,0,1,10042189881904887565,MAX_FRAMES_REACHED,stage10_K200_M511K421_12,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,13,8.1136800223497492,6.5000000000000009,0.11193605692841695,50000,10000000,0,0,0,0,0,50000,1331811400,26636,24600,38900,60200,0,0,0,0,0,1,3150698856842153224,MAX_FRAMES_REACHED,stage10_K200_M511K421_13,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,14,8.6136800223497492,7.0000000000000009,0.099763115748443973,50000,10000000,0,0,0,0,0,50000,1291517300,25830,23900,37600,59100,0,0,0,0,0,1,4043619386687383185,MAX_FRAMES_REACHED,stage10_K200_M511K421_14,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,15,9.1136800223497492,7.5000000000000009,0.088913970501946119,50000,10000000,0,0,0,0,0,50000,1256174000,25123,23500,37200,56400,0,0,0,0,0,1,10256388418918041287,MAX_FRAMES_REACHED,stage10_K200_M511K421_15,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K421,421整块200,200,290,0.68965517241379315,0,30,0.0018117604691982659,30,16,9.6136800223497492,8,0.079244659623055658,50000,10000000,0,0,0,0,0,50000,1204652400,24093,22400,34000,53300,0,0,0,0,0,1,6104721438852564241,MAX_FRAMES_REACHED,stage10_K200_M511K421_16,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K385,385整块200,200,326,0.61349693251533743,0,30,0.0016110731556870732,30,0,2.1218760440395781,0,0.5,1000,200000,16533,1000,1000,0,0,0,75155700,75155,69200,102000,134700,0.082665000000000002,1,1,0,0,0,10819516791044245708,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M511K385_0,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K385,385整块200,200,326,0.61349693251533743,0,30,0.0016110731556870732,30,1,2.6218760440395781,0.5,0.44562546906687273,1000,200000,14035,990,990,0,0,10,75582300,75582,65400,113300,174200,0.070175000000000001,0.98999999999999999,0.98999999999999999,0,0,0.01,15795159665704917054,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M511K385_1,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K385,385整块200,200,326,0.61349693251533743,0,30,0.0016110731556870732,30,2,3.1218760440395781,1,0.39716411736214075,1000,200000,11505,939,939,0,0,61,69830100,69830,63800,97000,149500,0.057525,0.93899999999999995,0.93899999999999995,0,0,0.060999999999999999,11195018331542530787,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M511K385_2,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K385,385整块200,200,326,0.61349693251533743,0,30,0.0016110731556870732,30,3,3.6218760440395781,1.5,0.35397289219206901,1000,200000,8440,782,782,0,0,218,68996600,68996,63600,95000,147300,0.042200000000000001,0.78200000000000003,0.78200000000000003,0,0,0.218,12513429084792161324,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M511K385_3,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K385,385整块200,200,326,0.61349693251533743,0,30,0.0016110731556870732,30,4,4.1218760440395776,1.9999999999999996,0.31547867224009662,1000,200000,4607,479,479,0,0,521,72589300,72589,68300,98800,161500,0.023035,0.47899999999999998,0.47899999999999998,0,0,0.52100000000000002,17605543929736424720,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M511K385_4,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K385,385整块200,200,326,0.61349693251533743,0,30,0.0016110731556870732,30,5,4.6218760440395776,2.4999999999999996,0.28117066259517454,1100,220000,1973,217,217,0,0,883,74901900,68092,64800,92400,132800,0.0089681818181818179,0.19727272727272727,0.19727272727272727,0,0,0.80272727272727273,13078685186270450097,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M511K385_5,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M511K385,385整块200,200,326,0.61349693251533743,0,30,0.0016110731556870732,30,6,5.1218760440395776,2.9999999999999996,0.25059361681363618,4100,820000,1733,200,200,0,0,3900,258689700,63095,59700,93200,132300,0.0021134146341463414,0.04878048780487805,0.04878048780487805,0,0,0.95121951219512191,2908611054233175965,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M511K385_6,0
