stageId,gitCommit,experimentType,caseId,legendLabel,payloadLength,encodedLength,actualRate,channelType,ebn0Db,snrDb,blockageAmplitude,requestedBlockageRatio,actualBlockageRatio,blockageLengthSymbols,blockageStartPolicy,meanBlockageStart,minBlockageStart,maxBlockageStart,totalBlockedSymbols,blockedRawErrorBits,nonBlockedRawErrorBits,blockedRawBer,nonBlockedRawBer,affectedCodeBlockCountTotal,meanAffectedCodeBlockCount,maxAffectedCodeBlockCount,totalFrames,totalPayloadBits,payloadErrorBits,payloadErrorFrames,decoderFailureFrames,miscorrectionFrames,undetectedErrorFrames,trueSuccessFrames,decodeTimeTotalNs,decodeTimeMeanNs,decodeTimeP50Ns,decodeTimeP95Ns,decodeTimeP99Ns,ber,fer,decoderFailureRate,miscorrectionRate,undetectedErrorRate,trueSuccessRate,stopReason,checkpointId,shardId,blockageParameterIndex
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M511K385,385整块200,200,326,0.61349693251533743,BLOCKAGE_AWGN,7.5,5.3781239559604224,0,0.14999999999999999,0.15030674846625766,49,RANDOM_PER_FRAME,138.12139999999999,0,277,245000,122592,5814,0.50037551020408166,0.0041978339350180506,5000,1,1,5000,1000000,81681,4416,4993,0,0,584,327156900,65431,63300,78800,105300,0.081681000000000004,0.88319999999999999,0.99860000000000004,0,0,0.1168,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_M511K385_6,0,6
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M511K385,385整块200,200,326,0.61349693251533743,BLOCKAGE_AWGN,7.5,5.3781239559604224,0,0.20000000000000001,0.19938650306748465,65,RANDOM_PER_FRAME,132.06700000000001,0,261,325000,162300,5459,0.49938461538461537,0.0041831417624521071,5000,1,1,5000,1000000,106169,4478,5000,0,0,522,326532400,65306,63200,76800,118200,0.106169,0.89559999999999995,1,0,0,0.10440000000000001,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_M511K385_7,0,7
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K300_S15,分块300,300,420,0.7142857142857143,BLOCKAGE_AWGN,8,6.53871964321762,0,0,0,0,RANDOM_PER_FRAME,209.9463196125908,0,420,0,0,23157,0,0.0013350051885160845,0,0,0,41300,12390000,438,200,0,200,0,41100,396686800,9605,8300,14300,19600,3.5351089588377726e-05,0.0048426150121065378,0,0.0048426150121065378,0,0.99515738498789341,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K300_S15_0,0,0
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K300_S15,分块300,300,420,0.7142857142857143,BLOCKAGE_AWGN,8,6.53871964321762,0,0.02,0.019047619047619049,8,RANDOM_PER_FRAME,208.0384,0,412,40000,19829,2709,0.49572500000000003,0.0013150485436893204,7285,1.4570000000000001,2,5000,1500000,15998,4666,0,4666,97,334,48156200,9631,8500,14100,18700,0.010665333333333334,0.93320000000000003,0,0.93320000000000003,0.019400000000000001,0.066799999999999998,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K300_S15_1,0,1
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K300_S15,分块300,300,420,0.7142857142857143,BLOCKAGE_AWGN,8,6.53871964321762,0,0.050000000000000003,0.050000000000000003,21,RANDOM_PER_FRAME,200.726,0,399,105000,52639,2646,0.5013238095238095,0.0013263157894736841,11637,2.3273999999999999,3,5000,1500000,39987,4999,0,4999,13,1,48402400,9680,8600,14100,20800,0.026658000000000001,0.99980000000000002,0,0.99980000000000002,0.0025999999999999999,0.00020000000000000001,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K300_S15_2,0,2
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K300_S15,分块300,300,420,0.7142857142857143,BLOCKAGE_AWGN,8,6.53871964321762,0,0.080000000000000002,0.080952380952380956,34,RANDOM_PER_FRAME,195.45240000000001,0,386,170000,85135,2553,0.50079411764705883,0.0013227979274611399,16020,3.2040000000000002,4,5000,1500000,63813,5000,0,5000,1,0,50542200,10108,8700,15100,19000,0.042542000000000003,1,0,1,0.00020000000000000001,0,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K300_S15_3,0,3
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K300_S15,分块300,300,420,0.7142857142857143,BLOCKAGE_AWGN,8,6.53871964321762,0,0.10000000000000001,0.10000000000000001,42,RANDOM_PER_FRAME,188.6542,0,378,210000,105136,2482,0.50064761904761901,0.0013132275132275131,18590,3.718,4,5000,1500000,78534,5000,0,5000,0,0,47847100,9569,8700,14200,18000,0.052356,1,0,1,0,0,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K300_S15_4,0,4
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K300_S15,分块300,300,420,0.7142857142857143,BLOCKAGE_AWGN,8,6.53871964321762,0,0.12,0.11904761904761904,50,RANDOM_PER_FRAME,186.03200000000001,0,370,250000,125112,2444,0.500448,0.0013210810810810811,21297,4.2594000000000003,5,5000,1500000,92814,5000,0,5000,0,0,48828500,9765,8700,14600,18600,0.061876,1,0,1,0,0,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K300_S15_5,0,5
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K300_S15,分块300,300,420,0.7142857142857143,BLOCKAGE_AWGN,8,6.53871964321762,0,0.14999999999999999,0.14999999999999999,63,RANDOM_PER_FRAME,180.61080000000001,0,357,315000,157292,2347,0.49933968253968253,0.0013148459383753501,25658,5.1315999999999997,6,5000,1500000,116717,5000,0,5000,0,0,49600600,9920,8800,14800,17400,0.07781133333333333,1,0,1,0,0,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K300_S15_6,0,6
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K300_S15,分块300,300,420,0.7142857142857143,BLOCKAGE_AWGN,8,6.53871964321762,0,0.20000000000000001,0.20000000000000001,84,RANDOM_PER_FRAME,168.32980000000001,0,336,420000,209706,2196,0.49930000000000002,0.0013071428571428572,32676,6.5351999999999997,7,5000,1500000,155107,5000,0,5000,0,0,50102700,10020,9000,15000,19000,0.10340466666666667,1,0,1,0,0,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K300_S15_7,0,7
