actualLength,esN0Db,algorithm,sigmaSquared,expectedSigmaSquared,sigmaMatch,ebN0Db,expectedEbN0Db,ebN0Match,status
560,3.0,DIRECT_LAYERED_SPA_BP,0.2505936168136362,0.2505936168136362,True,5.71066772286538,5.71066772286538,True,PASS
560,3.5,DIRECT_LAYERED_NMS,0.22334179607548157,0.22334179607548157,True,6.21066772286538,6.21066772286538,True,PASS
560,3.5,DIRECT_LAYERED_SPA_BP,0.22334179607548157,0.22334179607548157,True,6.21066772286538,6.21066772286538,True,PASS
560,4.0,DIRECT_LAYERED_NMS,0.19905358527674863,0.19905358527674863,True,6.71066772286538,6.71066772286538,True,PASS
560,4.0,DIRECT_LAYERED_SPA_BP,0.19905358527674863,0.19905358527674863,True,6.71066772286538,6.71066772286538,True,PASS
560,4.5,DIRECT_LAYERED_NMS,0.17740669461678774,0.17740669461678774,True,7.21066772286538,7.21066772286538,True,PASS
560,4.5,DIRECT_LAYERED_SPA_BP,0.17740669461678774,0.17740669461678774,True,7.21066772286538,7.21066772286538,True,PASS
560,5.0,DIRECT_LAYERED_NMS,0.15811388300841897,0.15811388300841897,True,7.71066772286538,7.71066772286538,True,PASS
560,5.0,DIRECT_LAYERED_SPA_BP,0.15811388300841897,0.15811388300841897,True,7.71066772286538,7.71066772286538,True,PASS
560,5.5,DIRECT_LAYERED_NMS,0.14091914656322269,0.14091914656322269,True,8.21066772286538,8.21066772286538,True,PASS
560,5.5,DIRECT_LAYERED_SPA_BP,0.14091914656322269,0.14091914656322269,True,8.21066772286538,8.21066772286538,True,PASS
560,6.0,DIRECT_LAYERED_NMS,0.125594321575479,0.125594321575479,True,8.71066772286538,8.71066772286538,True,PASS
