rateCase,targetFerLevel,targetFer,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,mode,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,decodedBitMismatchVsBlock,decodedFrameMismatchVsBlock,relativeBerIncreaseVsBlock,relativeFerIncreaseVsBlock,survivorMemoryBytes,pathMetricMemoryBytes,totalDecoderMemoryBytes,tracebackOperations,ACSCount,firstDecisionDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,sourceStage09RowId,sourceObservedFer,stopReason,timingBatchCount
R23,FER_030,0.29999999999999999,0.40000000000000002,0.40000000000000002,2.2469143081759877,0.65359477124183007,0.45600541967795483,CONTINUOUS_TRUNCATED_VITERBI,112,1000,3831,273,0.01277,0.27300000000000002,0.012374409482770812,0.013178068183995757,0.24629594891717119,0.30144139943527082,46,11,0.0073626084669998022,0.01111111111111112,21504,1024,22528,21840000,39168000,111,92.450000000000003,111,346.38799999999986,305.89999999999998,476.30000000000001,892.70000000000005,2026072001,2026072901,0-999,CC-B-R23-S-FER_030,STAGE10-2030,dense-062,0.28839999999999999,TARGET_ERRORS_REACHED,5
R23,FER_010,0.10000000000000001,1,1,2.8469143081759878,0.65359477124183007,0.39716411736214075,CONTINUOUS_TRUNCATED_VITERBI,35,2152,4268,553,0.0066109045848822797,0.25697026022304831,0.0064161419790353738,0.0068115386982107208,0.23895299234589296,0.27585362957880488,3031,463,1.0391782130912564,1.7649999999999999,6720,1024,7744,20487040,84289536,34,32.646666666666668,34,318.10585501858759,281,438.60000000000002,1232,2026072001,2026072901,0-2151,CC-B-R23-S-FER_010,STAGE10-2010,dense-068,0.093200000000000005,TARGET_ERRORS_REACHED,5
R23,FER_010,0.10000000000000001,1,1,2.8469143081759878,0.65359477124183007,0.39716411736214075,CONTINUOUS_TRUNCATED_VITERBI,49,2152,2876,329,0.0044547707558859973,0.15288104089219332,0.0042952468825753756,0.004620191795445293,0.13829589804111769,0.16870323499473183,1235,197,0.37410415671285224,0.64500000000000013,9408,1024,10432,27205584,84289536,48,44.990000000000002,48,320.71691449814142,283.19999999999999,438.30000000000001,1019.9,2026072001,2026072901,0-2151,CC-B-R23-S-FER_010,STAGE10-2010,dense-068,0.093200000000000005,TARGET_ERRORS_REACHED,5
R23,FER_010,0.10000000000000001,1,1,2.8469143081759878,0.65359477124183007,0.39716411736214075,CONTINUOUS_TRUNCATED_VITERBI,70,2152,2346,224,0.0036338289962825278,0.10408921933085502,0.0034899761707055856,0.0037835887576100008,0.09188474308916493,0.11770462953003692,337,46,0.12087912087912084,0.12000000000000009,13440,1024,14464,35701680,84289536,69,62.280000000000001,69,329.52969330854978,292.60000000000002,444.30000000000001,1085.5,2026072001,2026072901,0-2151,CC-B-R23-S-FER_010,STAGE10-2010,dense-068,0.093200000000000005,TARGET_ERRORS_REACHED,5
R23,FER_010,0.10000000000000001,1,1,2.8469143081759878,0.65359477124183007,0.39716411736214075,CONTINUOUS_TRUNCATED_VITERBI,84,2152,2202,214,0.0034107806691449816,0.099442379182156135,0.0032714882586854844,0.0035559826697102305,0.087503714494599039,0.11280853808492208,143,25,0.052078356426182547,0.070000000000000076,16128,1024,17152,40311264,84289536,83,72.989999999999995,83,335.47537174721157,297.60000000000002,450.69999999999999,873.5,2026072001,2026072901,0-2151,CC-B-R23-S-FER_010,STAGE10-2010,dense-068,0.093200000000000005,TARGET_ERRORS_REACHED,5
R23,FER_010,0.10000000000000001,1,1,2.8469143081759878,0.65359477124183007,0.39716411736214075,CONTINUOUS_TRUNCATED_VITERBI,98,2152,2124,205,0.0032899628252788106,0.095260223048327139,0.0031532036265521511,0.0034326330518869665,0.083568000180468241,0.10839484436334022,37,7,0.014811275680840933,0.025000000000000081,18816,1024,19840,44077264,84289536,97,83.046666666666667,97,340.3299721189598,303.30000000000001,458.19999999999999,972.60000000000002,2026072001,2026072901,0-2151,CC-B-R23-S-FER_010,STAGE10-2010,dense-068,0.093200000000000005,TARGET_ERRORS_REACHED,5
R23,FER_010,0.10000000000000001,1,1,2.8469143081759878,0.65359477124183007,0.39716411736214075,CONTINUOUS_TRUNCATED_VITERBI,112,2152,2097,201,0.0032481412639405204,0.093401486988847579,0.003112269855090916,0.0033899241983632255,0.081821095092778864,0.10643090143515728,4,2,0.0019111323459149376,0.0050000000000000166,21504,1024,22528,46999680,84289536,111,92.450000000000003,111,346.34265799256531,304.69999999999999,465.19999999999999,8793.5,2026072001,2026072901,0-2151,CC-B-R23-S-FER_010,STAGE10-2010,dense-068,0.093200000000000005,TARGET_ERRORS_REACHED,5
R23,FER_003,0.029999999999999999,1.5,1.5,3.3469143081759878,0.65359477124183007,0.35397289219206896,CONTINUOUS_TRUNCATED_VITERBI,35,7598,3642,698,0.0015977888918136353,0.091866280600157932,0.0015467719032929885,0.0016504857858738724,0.085576305188064625,0.098568742614321095,2621,566,1.4658090724441439,2.4900000000000002,6720,1024,7744,72332960,297598464,34,32.646666666666668,34,316.89915767307355,281,435.69999999999999,1146.5,2026072001,2026072901,0-7597,CC-B-R23-S-FER_003,STAGE10-2003,dense-073,0.030326004548900682,TARGET_ERRORS_REACHED,5
R23,FER_003,0.029999999999999999,1.5,1.5,3.3469143081759878,0.65359477124183007,0.35397289219206896,CONTINUOUS_TRUNCATED_VITERBI,49,7598,2015,329,0.00088400456260419411,0.043300868649644643,0.00084625562245605802,0.00092343581416055843,0.038950483048851889,0.048112824230825121,694,156,0.36425186188219377,0.64500000000000002,9408,1024,10432,96053916,297598464,48,44.990000000000002,48,321.1567912608582,284.39999999999998,437.30000000000001,1860.5999999999999,2026072001,2026072901,0-7597,CC-B-R23-S-FER_003,STAGE10-2003,dense-073,0.030326004548900682,TARGET_ERRORS_REACHED,5
R23,FER_003,0.029999999999999999,1.5,1.5,3.3469143081759878,0.65359477124183007,0.35397289219206896,CONTINUOUS_TRUNCATED_VITERBI,70,7598,1542,217,0.00067649381416162149,0.028560147407212425,0.00064357105123374013,0.00071109958792973211,0.025046456510665411,0.032550306220113553,69,20,0.044008124576845047,0.085000000000000048,13440,1024,14464,126050820,297598464,69,62.280000000000001,69,330.21779415635842,293.60000000000002,447.60000000000002,1772.8,2026072001,2026072901,0-7597,CC-B-R23-S-FER_003,STAGE10-2003,dense-073,0.030326004548900682,TARGET_ERRORS_REACHED,5
