caseName,burstMode,sourcePayloadEbN0Db,burstStartPolicy,targetFER,parameter,maximumToleratedParameter,lowerBound,upperBound,numberOfCrossings,firstCrossing,lastCrossing,method,status
BCH-B300,PURE,0,FRAME_START,0.5,burstLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,PURE,0,FRAME_START,0.1,burstLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,PURE,0,FRAME_START,0.01,burstLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,PURE,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.5,burstLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,PURE,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.1,burstLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,PURE,0,ONE_BEFORE_SEGMENT_BOUNDARY,0.01,burstLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,PURE,0,ON_SEGMENT_BOUNDARY,0.5,burstLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,PURE,0,ON_SEGMENT_BOUNDARY,0.1,burstLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,PURE,0,ON_SEGMENT_BOUNDARY,0.01,burstLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,PURE,0,SEGMENT_INTERIOR,0.5,burstLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,PURE,0,SEGMENT_INTERIOR,0.1,burstLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,PURE,0,SEGMENT_INTERIOR,0.01,burstLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,PURE,0,UNIFORM_RANDOM,0.5,burstLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,PURE,0,UNIFORM_RANDOM,0.1,burstLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,PURE,0,UNIFORM_RANDOM,0.01,burstLength,,10.0,12.0,1,10.0..12.0,10.0..12.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300-426,AWGN,5,FRAME_END,0.5,burstLength,,7.0,8.0,1,7.0..8.0,7.0..8.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300-426,AWGN,5,FRAME_END,0.1,burstLength,,3.0,4.0,1,3.0..4.0,3.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300-426,AWGN,5,FRAME_END,0.01,burstLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B300-426,AWGN,5,FRAME_START,0.5,burstLength,,7.0,8.0,1,7.0..8.0,7.0..8.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300-426,AWGN,5,FRAME_START,0.1,burstLength,,3.0,4.0,1,3.0..4.0,3.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300-426,AWGN,5,FRAME_START,0.01,burstLength,,,1.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B300-426,AWGN,5,ONE_BEFORE_SEGMENT_BOUNDARY,0.5,burstLength,,7.0,8.0,1,7.0..8.0,7.0..8.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300-426,AWGN,5,ONE_BEFORE_SEGMENT_BOUNDARY,0.1,burstLength,,3.0,4.0,1,3.0..4.0,3.0..4.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
