figureName,caseId,seriesLabel,payloadGroup,codeType,configuration,configurationId,snrIndex,snr,derivedEbN0Db,actualRate,ber,fer,payloadErrorBits,payloadBitsProcessed,payloadErrorFrames,framesProcessed,sourceBer,sourceFer,plotMetric,plotValue,zeroRemovedForPublication
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,34,17,18.53814864344529,0.70175438596491224,0.041794999999999999,0.98699999999999999,8359,200000,987,1000,0.041794999999999999,0.98699999999999999,FER,0.98699999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,35,17.5,19.03814864344529,0.70175438596491224,0.041704999999999999,0.995,8341,200000,995,1000,0.041704999999999999,0.995,FER,0.995,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,36,18,19.53814864344529,0.70175438596491224,0.042134999999999999,0.99399999999999999,8427,200000,994,1000,0.042134999999999999,0.99399999999999999,FER,0.99399999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,0,0,1.5381486434452905,0.70175438596491224,0.12398000000000001,1,24796,200000,1000,1000,0.12398000000000001,1,FER,1,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,1,0.5,2.0381486434452905,0.70175438596491224,0.10715,1,21430,200000,1000,1000,0.10715,1,FER,1,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,2,1,2.5381486434452905,0.70175438596491224,0.091884999999999994,1,18377,200000,1000,1000,0.091884999999999994,1,FER,1,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,3,1.5,3.0381486434452905,0.70175438596491224,0.076134999999999994,1,15227,200000,1000,1000,0.076134999999999994,1,FER,1,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,4,2,3.5381486434452905,0.70175438596491224,0.062089999999999999,1,12418,200000,1000,1000,0.062089999999999999,1,FER,1,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,5,2.5,4.0381486434452905,0.70175438596491224,0.049149999999999999,0.99399999999999999,9830,200000,994,1000,0.049149999999999999,0.99399999999999999,FER,0.99399999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,6,3,4.5381486434452905,0.70175438596491224,0.039024999999999997,0.97899999999999998,7805,200000,979,1000,0.039024999999999997,0.97899999999999998,FER,0.97899999999999998,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,7,3.5,5.0381486434452905,0.70175438596491224,0.02945,0.93999999999999995,5890,200000,940,1000,0.02945,0.93999999999999995,FER,0.93999999999999995,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,8,4,5.5381486434452905,0.70175438596491224,0.021715000000000002,0.872,4343,200000,872,1000,0.021715000000000002,0.872,FER,0.872,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,9,4.5,6.0381486434452905,0.70175438596491224,0.015365,0.77200000000000002,3073,200000,772,1000,0.015365,0.77200000000000002,FER,0.77200000000000002,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,10,5,6.5381486434452905,0.70175438596491224,0.010545000000000001,0.60699999999999998,2109,200000,607,1000,0.010545000000000001,0.60699999999999998,FER,0.60699999999999998,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,11,5.5,7.0381486434452905,0.70175438596491224,0.0061749999999999999,0.44900000000000001,1235,200000,449,1000,0.0061749999999999999,0.44900000000000001,FER,0.44900000000000001,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,12,6,7.5381486434452905,0.70175438596491224,0.0039699999999999996,0.30499999999999999,794,200000,305,1000,0.0039699999999999996,0.30499999999999999,FER,0.30499999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,13,6.5,8.0381486434452896,0.70175438596491224,0.0024599999999999999,0.20000000000000001,492,200000,200,1000,0.0024599999999999999,0.20000000000000001,FER,0.20000000000000001,false
