phase,caseId,snrDb,ebN0Db,actualRate,sigmaSquared,N_transmitted,framesProcessed,payloadBitErrors,payloadErrorFrames,BER,FER,payloadSuccessRate,avgEncodeTime_us,maxEncodeTime_us,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,rawDecodeThroughput_Mbps,successfulDecodeThroughput_Mbps,normalizedGoodput,stopReason
smoke,CC-B-R23-H,1,2.8469143081759878,0.65359477124183007,0.39716411736214075,459,60,1611,51,0.089499999999999996,0.84999999999999998,0.15000000000000002,5.6366666666666676,28.600000000000001,337.54166666666669,610.89999999999998,1029.7,0.88877916306628801,0.13331687445994322,0.098039215686274522,TARGET_ERRORS_REACHED
smoke,CC-B-R23-S,1,2.8469143081759878,0.65359477124183007,0.39716411736214075,459,60,85,7,0.0047222222222222223,0.11666666666666667,0.8833333333333333,5.6366666666666676,28.600000000000001,391.58499999999992,579.89999999999998,731.60000000000002,0.76611719039289061,0.67673685151371998,0.57734204793028321,TARGET_ERRORS_REACHED
smoke,CC-B-R23-H,2,3.8469143081759878,0.65359477124183007,0.31547867224009662,459,60,398,26,0.022111111111111113,0.43333333333333335,0.56666666666666665,6.4983333333333322,61.700000000000003,395.56166666666672,552.20000000000005,2537.8000000000002,0.7584152492026105,0.42976864121481262,0.37037037037037035,TARGET_ERRORS_REACHED
smoke,CC-B-R23-S,2,3.8469143081759878,0.65359477124183007,0.31547867224009662,459,60,14,1,0.00077777777777777773,0.016666666666666666,0.98333333333333328,6.4983333333333322,61.700000000000003,524.42166666666651,892.10000000000002,1757,0.57205874407680857,0.56252443167552835,0.64270152505446621,TARGET_ERRORS_REACHED
smoke,CC-B-R23-H,3,4.8469143081759878,0.65359477124183007,0.25059361681363618,459,60,19,3,0.0010555555555555555,0.050000000000000003,0.94999999999999996,5.3966666666666656,9.3000000000000007,302.17833333333334,409.39999999999998,589,0.99279123255031521,0.94315167092279939,0.62091503267973858,TARGET_ERRORS_REACHED
smoke,CC-B-R23-S,3,4.8469143081759878,0.65359477124183007,0.25059361681363618,459,60,0,0,0,0,1,5.3966666666666656,9.3000000000000007,425.77499999999992,719.70000000000005,1375.5,0.70459749867887977,0.70459749867887977,0.65359477124183007,TARGET_ERRORS_REACHED
smoke,CC-B-R23-H,4,5.8469143081759878,0.65359477124183007,0.19905358527674863,459,60,0,0,0,0,1,5.8450000000000015,20.300000000000001,337.90833333333336,651.70000000000005,722.70000000000005,0.8878147426570322,0.8878147426570322,0.65359477124183007,TARGET_ERRORS_REACHED
smoke,CC-B-R23-S,4,5.8469143081759878,0.65359477124183007,0.19905358527674863,459,60,0,0,0,0,1,5.8450000000000015,20.300000000000001,434.21000000000009,713,791,0.69090992837567056,0.69090992837567056,0.65359477124183007,TARGET_ERRORS_REACHED
smoke,CC-B-R34-H,-2,-0.66461091629782532,0.73529411764705888,0.79244659623055669,408,60,8162,60,0.45344444444444443,1,0,5.8549999999999995,22.199999999999999,351.57499999999993,575,1004.9,0.85330299367133633,0,0,TARGET_ERRORS_REACHED
smoke,CC-B-R34-S,-2,-0.66461091629782532,0.73529411764705888,0.79244659623055669,408,60,6947,60,0.38594444444444442,1,0,5.8549999999999995,22.199999999999999,442.67833333333311,730.39999999999998,1230.0999999999999,0.67769298248916665,0,0,TARGET_ERRORS_REACHED
