organization,rateCase,snrDb,relativeOffset,bitErrors,bits,BER,berCiLow,berCiHigh,gridLayer,decisionMode
D_CONT_150x2,R12,-1.5,-1,16,1000,0.016,0.00987224,0.0258321,coarse,Soft Float
D_CONT_150x2,R12,-1.5,0,18,1000,0.018,0.0114157,0.0282733,coarse,Soft Float
D_CONT_150x2,R12,-1.5,1,15,1000,0.015,0.00911098,0.024601,coarse,Soft Float
D_CONT_150x2,R12,-1.5,2,9,1000,0.009,0.00474206,0.0170158,coarse,Soft Float
D_CONT_150x2,R12,-1.5,3,19,1000,0.019,0.0121969,0.0294845,coarse,Soft Float
D_CONT_150x2,R12,-1.5,4,17,1000,0.017,0.0106407,0.027056,coarse,Soft Float
D_CONT_150x2,R12,-1.5,5,21,1000,0.021,0.0137757,0.0318903,coarse,Soft Float
D_CONT_150x2,R12,-1.5,6,18,1000,0.018,0.0114157,0.0282733,coarse,Soft Float
D_CONT_150x2,R12,-1.5,7,12,1000,0.012,0.00687765,0.0208573,coarse,Soft Float
D_CONT_150x2,R12,-1.5,8,18,1000,0.018,0.0114157,0.0282733,coarse,Soft Float
D_CONT_150x2,R12,-1.5,9,19,1000,0.019,0.0121969,0.0294845,coarse,Soft Float
B_CONT_50x6,R12,-1.0,-10,36,5460,0.00659341,0.00476651,0.0091141,coarse,Soft Float
B_CONT_50x6,R12,-1.0,-9,32,5460,0.00586081,0.00415466,0.00826178,coarse,Soft Float
B_CONT_50x6,R12,-1.0,-8,33,5460,0.00604396,0.00430696,0.00847553,coarse,Soft Float
B_CONT_50x6,R12,-1.0,-7,34,5460,0.00622711,0.00445971,0.00868882,coarse,Soft Float
B_CONT_50x6,R12,-1.0,-6,40,5460,0.00732601,0.00538483,0.00995995,coarse,Soft Float
B_CONT_50x6,R12,-1.0,-5,31,5460,0.00567766,0.00400285,0.00804755,coarse,Soft Float
B_CONT_50x6,R12,-1.0,-4,38,5460,0.00695971,0.00507492,0.00953777,coarse,Soft Float
B_CONT_50x6,R12,-1.0,-3,37,5460,0.00677656,0.00492052,0.00932613,coarse,Soft Float
B_CONT_50x6,R12,-1.0,-2,30,5460,0.00549451,0.00385153,0.00783282,coarse,Soft Float
B_CONT_50x6,R12,-1.0,-1,34,5460,0.00622711,0.00445971,0.00868882,coarse,Soft Float
B_CONT_50x6,R12,-1.0,0,35,5460,0.00641026,0.0046129,0.00890167,coarse,Soft Float
B_CONT_50x6,R12,-1.0,1,29,5460,0.00531136,0.00370074,0.00761757,coarse,Soft Float
