stage,mode,caseName,payloadLength,encodedLength,organization,correctionCapabilityT,burstLength,relativeStartInSubblock,interleaverMode,payloadCount,legalStartCountPerPayload,totalPatterns,processedFrames,processedBits,bitErrors,frameErrors,BER,FER,trueSuccessRate,reportedSuccessRate,decoderFailureRate,miscorrectionRate,explicitFailureWithWrongPayloadPatterns,averageTouchedSubblocks,averageMaximumSubblockErrorWeight,fractionAllSubblocksWithinGuaranteedRegion,averageSubblocksWithOneError,averageSubblocksWithMoreThanOneError,minimumFailingStart,maximumSuccessfulStart,allStartsGuaranteedCorrect,theoreticalGuaranteedRegion,ferWilson95Low,ferWilson95High,masterSeed,caseSeed,lengthSeed,randomStartSeed,stopReason,runtimeSeconds,configHash,permutationHash,inversePermutationHash,errorWeightConserved,pairedFrameCount,overCapabilityFrameFraction,plotStatus
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,31,,NONE,5000,255,5000,5000,1000000,112106,5000,0.112106,1,0,1,0,1,0,3,15,0,0.13,2.8700000000000001,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,14320159573572120405,14320159573572120405,PAIRED_TARGET_FRAME_ERRORS,0.057686000000000001,7ca6b53e77ffa13a,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,1.0,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,32,,NONE,5000,254,5000,5000,1000000,115745,5000,0.115745,1,0,1,0,1,0,3.0573999999999999,15,0,0.1148,2.9426000000000001,0,0,false,false,0.99923229805494307,1,2026072607,4017947825915577414,14121150518197644850,14121150518197644850,PAIRED_TARGET_FRAME_ERRORS,0.061121849999999998,584342f19977a1f5,0c676aafaea3bec0,0c676aafaea3bec0,true,5000,1.0,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,0,,FIXED_RANDOM,100000,1,100000,100000,20000000,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,0,true,true,0,3.8413112583039631e-05,2026072607,4017947825915577414,6142472192736942299,6142472192736942299,MAXIMUM_FRAMES,1.0062968000000001,e3c52da59ef63d04,086532f4a013163c,273ca9cc3e6ed03c,true,100000,0.0,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,1,,FIXED_RANDOM,100000,285,100000,100000,20000000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,284,true,true,0,3.8413112583039631e-05,2026072607,4017947825915577414,9621336497066466428,9621336497066466428,MAXIMUM_FRAMES,1.0542921999999999,37c29e4279c04446,086532f4a013163c,273ca9cc3e6ed03c,true,100000,0.0,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,2,,FIXED_RANDOM,8589,284,8589,8589,1717800,687,300,0.00039993014320642681,0.034928396786587497,0.96507160321341245,1,0,0.034928396786587497,0,1.9650716032134126,1.0349283967865874,0.96507160321341245,1.9301432064268249,0.034928396786587497,112,283,false,false,0.031248805148583421,0.039023812089203629,2026072607,4017947825915577414,5640354087230502487,5640354087230502487,PAIRED_TARGET_FRAME_ERRORS,0.086156650000000001,58f579949d6218a6,086532f4a013163c,273ca9cc3e6ed03c,true,8589,0.034928396786587546,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,3,,FIXED_RANDOM,5000,283,5000,5000,1000000,1477,699,0.001477,0.13980000000000001,0.86019999999999996,1,0,0.13980000000000001,0,2.8601999999999999,1.1397999999999999,0.86019999999999996,2.7204000000000002,0.13980000000000001,56,282,false,false,0.13046417995271206,0.14968887252850713,2026072607,4017947825915577414,16030843550405113190,16030843550405113190,PAIRED_TARGET_FRAME_ERRORS,0.050834249999999997,ed64c16fcab996a8,086532f4a013163c,273ca9cc3e6ed03c,true,5000,0.13980000000000004,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,4,,FIXED_RANDOM,5000,282,5000,5000,1000000,2544,1152,0.0025439999999999998,0.23039999999999999,0.76959999999999995,1,0,0.23039999999999999,0,3.7564000000000002,1.2347999999999999,0.76759999999999995,3.5152000000000001,0.2412,9,281,false,false,0.21893784424858062,0.24227610064019425,2026072607,4017947825915577414,1735388984397293476,1735388984397293476,PAIRED_TARGET_FRAME_ERRORS,0.049689900000000002,ba81f6913420ec54,086532f4a013163c,273ca9cc3e6ed03c,true,5000,0.23240000000000005,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,5,,FIXED_RANDOM,5000,281,5000,5000,1000000,4134,1759,0.0041339999999999997,0.3518,0.6482,1,0,0.3518,0,4.5919999999999996,1.371,0.64100000000000001,4.1959999999999997,0.39600000000000002,8,280,false,false,0.33868209898435203,0.36514544787216302,2026072607,4017947825915577414,11725738326003446633,11725738326003446633,PAIRED_TARGET_FRAME_ERRORS,0.048192600000000002,51b485d5500cf03a,086532f4a013163c,273ca9cc3e6ed03c,true,5000,0.359,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,6,,FIXED_RANDOM,5000,280,5000,5000,1000000,6136,2502,0.006136,0.50039999999999996,0.49959999999999999,1,0,0.50039999999999996,0,5.3879999999999999,1.5331999999999999,0.48880000000000001,4.798,0.58999999999999997,7,277,false,false,0.48654597993221849,0.51425340590622537,2026072607,4017947825915577414,3413198687404197003,3413198687404197003,PAIRED_TARGET_FRAME_ERRORS,0.052045250000000001,ea5c14027b1f3499,086532f4a013163c,273ca9cc3e6ed03c,true,5000,0.5112,PLOTTED
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,7,,FIXED_RANDOM,5000,279,5000,5000,1000000,8646,3270,0.0086459999999999992,0.65400000000000003,0.34599999999999997,1,0,0.65400000000000003,0,6.1276000000000002,1.7010000000000001,0.33560000000000001,5.2918000000000003,0.83579999999999999,6,276,false,false,0.6407010059279219,0.66706254187300051,2026072607,4017947825915577414,578442061327463775,578442061327463775,PAIRED_TARGET_FRAME_ERRORS,0.051656849999999997,a4fc32eba59cd09a,086532f4a013163c,273ca9cc3e6ed03c,true,5000,0.6644,PLOTTED
