stage,mode,caseName,payloadLength,encodedLength,organization,correctionCapabilityT,burstLength,relativeStartInSubblock,interleaverMode,payloadCount,legalStartCountPerPayload,totalPatterns,processedFrames,processedBits,bitErrors,frameErrors,BER,FER,trueSuccessRate,reportedSuccessRate,decoderFailureRate,miscorrectionRate,explicitFailureWithWrongPayloadPatterns,averageTouchedSubblocks,averageMaximumSubblockErrorWeight,fractionAllSubblocksWithinGuaranteedRegion,averageSubblocksWithOneError,averageSubblocksWithMoreThanOneError,minimumFailingStart,maximumSuccessfulStart,allStartsGuaranteedCorrect,theoreticalGuaranteedRegion,ferWilson95Low,ferWilson95High,masterSeed,caseSeed,lengthSeed,randomStartSeed,stopReason,runtimeSeconds,configHash,permutationHash,inversePermutationHash,errorWeightConserved,pairedFrameCount,plotStatus
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,11,,NONE,5000,380,5000,5000,1500000,43352,4009,0.028901333333333334,0.80179999999999996,0.19819999999999999,0,1,0,4009,1,11,0,0,1,0,379,false,false,0.79052048481978299,0.8126161302861804,2026072607,16952284447138302587,17042706257638449857,17042706257638449857,TARGET_FRAME_ERRORS,0.2972476,aaa680fcf1505ab1,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,12,,NONE,5000,379,5000,5000,1500000,46294,3938,0.030862666666666667,0.78759999999999997,0.21240000000000001,0,1,0,3938,1,12,0,0,1,0,378,false,false,0.77604453995631173,0.79871387788489134,2026072607,16952284447138302587,5852064647851745440,5852064647851745440,TARGET_FRAME_ERRORS,0.2908829,1b4bf25ce256bf1f,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,13,,NONE,5000,378,5000,5000,1500000,50167,3937,0.033444666666666664,0.78739999999999999,0.21260000000000001,0,1,0,3937,1,13,0,0,1,0,377,false,false,0.77584080265488675,0.7985179222670945,2026072607,16952284447138302587,14721185324884221006,14721185324884221006,TARGET_FRAME_ERRORS,0.30200290000000002,3abfff72be511e2e,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,14,,NONE,5000,377,5000,5000,1500000,54600,3983,0.036400000000000002,0.79659999999999997,0.2034,0,1,0,3983,1,14,0,0,1,0,376,false,false,0.78521696921743189,0.80752762998876026,2026072607,16952284447138302587,1513869932821122325,1513869932821122325,TARGET_FRAME_ERRORS,0.30168840000000002,396f8633aa814a7e,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,15,,NONE,5000,376,5000,5000,1500000,58100,3969,0.038733333333333335,0.79379999999999995,0.20619999999999999,0,1,0,3969,1,15,0,0,1,0,375,false,false,0.78236242325171712,0.80478647508536716,2026072607,16952284447138302587,12404653343203574246,12404653343203574246,TARGET_FRAME_ERRORS,0.2939271,ab6f491c3e7a4428,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,16,,NONE,5000,375,5000,5000,1500000,62931,4016,0.041953999999999998,0.80320000000000003,0.1968,0,1,0,4016,1,16,0,0,1,0,374,false,false,0.7919488552676518,0.81398561027286565,2026072607,16952284447138302587,10985607443237393461,10985607443237393461,TARGET_FRAME_ERRORS,0.29200199999999998,ea3b88911ab38db4,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,17,,NONE,5000,374,5000,5000,1500000,66650,4018,0.044433333333333332,0.80359999999999998,0.19639999999999999,0,1,0,4018,1,17,0,0,1,0,373,false,false,0.79235700065681891,0.81437685072214239,2026072607,16952284447138302587,10569124204798522705,10569124204798522705,TARGET_FRAME_ERRORS,0.29620449999999998,c046401c01681d60,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,18,,NONE,5000,373,5000,5000,1500000,70607,4045,0.047071333333333333,0.80900000000000005,0.191,0,1,0,4045,1,18,0,0,1,0,372,false,false,0.7978687078516622,0.8196568523462926,2026072607,16952284447138302587,4916468921906678432,4916468921906678432,TARGET_FRAME_ERRORS,0.29217569999999998,70315b2d183e8ce5,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,19,,NONE,5000,372,5000,5000,1500000,74792,4055,0.049861333333333334,0.81100000000000005,0.189,0,1,0,4055,1,19,0,0,1,0,371,false,false,0.79991091794737901,0.82161157144279573,2026072607,16952284447138302587,4648041761809459575,4648041761809459575,TARGET_FRAME_ERRORS,0.2894407,32b8697a7ae5c075,,,true,0,PLOTTED
s2-07c,formal,BCH-B300,300,390,WHOLE_BLOCK_SHORTENED,10,20,,NONE,5000,371,5000,5000,1500000,78552,4062,0.052367999999999998,0.81240000000000001,0.18759999999999999,0,1,0,4062,1,20,0,0,1,0,370,false,false,0.80134073899582436,0.82297960082890398,2026072607,16952284447138302587,17050025772123467777,17050025772123467777,TARGET_FRAME_ERRORS,0.29080240000000002,b71545bfab817891,,,true,0,PLOTTED
