caseName,sourcePayloadEbN0Db,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,aggregation,seriesLabel,visualStyleKey,plotted,omissionReason
BCH-B300,4.5999999999999996,-20,0,32,UNIFORM_RANDOM,5000,1500000,76294,4969,0.05086266666666667,0.9938,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
BCH-B300,4.5999999999999996,-20,0,48,UNIFORM_RANDOM,5000,1500000,103583,4999,0.06905533333333333,0.9998,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
BCH-B300,4.5999999999999996,-20,0,64,UNIFORM_RANDOM,5000,1500000,130355,5000,0.08690333333333333,1.0,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
BCH-B300-426,4.4000000000000004,-12,0,1,UNIFORM_RANDOM,5000,1500000,6827,597,0.0045513333333333334,0.1194,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-12,0,2,UNIFORM_RANDOM,5000,1500000,7803,672,0.005202,0.1344,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-12,0,4,UNIFORM_RANDOM,5000,1500000,10161,871,0.006774,0.1742,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-12,0,6,UNIFORM_RANDOM,5000,1500000,13099,1117,0.008732666666666666,0.2234,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-12,0,8,UNIFORM_RANDOM,5000,1500000,16498,1383,0.010998666666666667,0.2766,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-12,0,10,UNIFORM_RANDOM,5000,1500000,20347,1697,0.013564666666666666,0.3394,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-12,0,12,UNIFORM_RANDOM,5000,1500000,24199,2005,0.016132666666666667,0.401,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-12,0,14,UNIFORM_RANDOM,5000,1500000,28112,2296,0.018741333333333332,0.4592,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-12,0,15,UNIFORM_RANDOM,5000,1500000,30521,2465,0.020347333333333332,0.493,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-12,0,16,UNIFORM_RANDOM,5000,1500000,33200,2648,0.022133333333333335,0.5296,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-12,0,20,UNIFORM_RANDOM,5000,1500000,42184,3264,0.028122666666666667,0.6528,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-12,0,24,UNIFORM_RANDOM,5000,1500000,50332,3789,0.03355466666666666,0.7578,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-12,0,29,UNIFORM_RANDOM,5000,1500000,59045,4244,0.039363333333333334,0.8488,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-12,0,30,UNIFORM_RANDOM,5000,1500000,61333,4355,0.04088866666666666,0.871,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-12,0,31,UNIFORM_RANDOM,5000,1500000,62346,4396,0.041564,0.8792,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-12,0,32,UNIFORM_RANDOM,5000,1500000,64376,4476,0.042917333333333335,0.8952,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-12,0,48,UNIFORM_RANDOM,5000,1500000,85986,4949,0.057324,0.9898,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
