caseName,burstMode,sourcePayloadEbN0Db,burstLength,burstStartPolicy,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,aggregation,seriesLabel,visualStyleKey,plotted,omissionReason
BCH-S200,AWGN,7.5,31,UNIFORM_RANDOM,5000,1000000,112203,5000,0.112203,1.0,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,32,UNIFORM_RANDOM,5000,1000000,115943,5000,0.115943,1.0,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,48,UNIFORM_RANDOM,5000,1000000,174453,5000,0.174453,1.0,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,64,UNIFORM_RANDOM,5000,1000000,232938,5000,0.232938,1.0,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S300,AWGN,7.7999999999999998,1,UNIFORM_RANDOM,5000,1500000,308,144,0.00020533333333333333,0.0288,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,2,UNIFORM_RANDOM,5000,1500000,10540,4589,0.007026666666666666,0.9178,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,3,UNIFORM_RANDOM,5000,1500000,13859,4929,0.009239333333333334,0.9858,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,4,UNIFORM_RANDOM,5000,1500000,17734,4933,0.011822666666666667,0.9866,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,5,UNIFORM_RANDOM,5000,1500000,22470,4943,0.01498,0.9886,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,6,UNIFORM_RANDOM,5000,1500000,25099,4943,0.016732666666666667,0.9886,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,7,UNIFORM_RANDOM,5000,1500000,24363,4916,0.016242,0.9832,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,8,UNIFORM_RANDOM,5000,1500000,31104,4947,0.020736,0.9894,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,10,UNIFORM_RANDOM,5000,1500000,36786,4964,0.024524,0.9928,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,12,UNIFORM_RANDOM,5000,1500000,42559,4990,0.028372666666666668,0.998,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,14,UNIFORM_RANDOM,5000,1500000,50669,5000,0.033779333333333335,1.0,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,15,UNIFORM_RANDOM,5000,1500000,54154,5000,0.036102666666666665,1.0,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,16,UNIFORM_RANDOM,5000,1500000,57863,5000,0.038575333333333336,1.0,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,20,UNIFORM_RANDOM,5000,1500000,72428,5000,0.04828533333333333,1.0,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,24,UNIFORM_RANDOM,5000,1500000,87143,5000,0.05809533333333333,1.0,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,29,UNIFORM_RANDOM,5000,1500000,105709,5000,0.07047266666666667,1.0,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,30,UNIFORM_RANDOM,5000,1500000,109287,5000,0.072858,1.0,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,31,UNIFORM_RANDOM,5000,1500000,112830,5000,0.07522,1.0,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,32,UNIFORM_RANDOM,5000,1500000,116481,5000,0.077654,1.0,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,48,UNIFORM_RANDOM,5000,1500000,175111,5000,0.11674066666666667,1.0,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
BCH-S300,AWGN,7.7999999999999998,64,UNIFORM_RANDOM,5000,1500000,233759,5000,0.15583933333333333,1.0,RAW_COUNTS,BCH-S300,BCH-S300|DEFAULT|#2ca02c|-.|^,true,
